# DawnLike tileset mapping for Knights of Camelot
# Maps game entities to sprite coordinates in DawnLike sprite sheets.
# All tiles are 16x16 pixels. Coordinates are tile indices (not pixels).
# sheet: path relative to tiles/ directory
# tx,ty: tile column,row within that sheet (0-indexed)
#
# Format: id,name,sheet,tx,ty
# id: unique identifier used by the renderer to look up tiles

# =====================================================================
# PLAYER
# =====================================================================
player_knight,Player (Knight),Characters/Player0.png,0,0
player_wizard,Player (Wizard),Characters/Player0.png,4,0
player_ranger,Player (Ranger),Characters/Player0.png,2,0

# =====================================================================
# TERRAIN - Dungeon
# =====================================================================
tile_wall,Wall,Objects/Wall.png,0,1
tile_wall_cave,Cave Wall,Objects/Wall.png,3,1
tile_floor,Floor,Objects/Floor.png,2,1
tile_floor_stone,Stone Floor,Objects/Floor.png,0,1
tile_door_closed,Closed Door,Objects/Door0.png,0,0
tile_door_open,Open Door,Objects/Door0.png,3,0
tile_door_locked,Locked Door,Objects/Door0.png,1,0
tile_stairs_up,Stairs Up,Objects/Tile.png,3,0
tile_stairs_down,Stairs Down,Objects/Tile.png,4,0
tile_water,Water,Objects/Pit0.png,0,3
tile_lava,Lava,Objects/Pit0.png,0,1
tile_ice,Ice,Objects/Floor.png,5,4
tile_portal,Portal,Objects/Tile.png,5,0
tile_grail_pedestal,Grail Pedestal,Objects/Decor0.png,5,3
tile_chest,Chest,Items/Chest0.png,0,0

# =====================================================================
# TERRAIN - Overworld
# =====================================================================
tile_grass,Grass,Objects/Floor.png,2,2
tile_road,Road,Objects/Floor.png,4,1
tile_forest,Forest,Objects/Tree0.png,0,1
tile_hills,Hills,Objects/Hill0.png,0,0
tile_mountain,Mountain,Objects/Hill0.png,1,0
tile_marsh,Marsh,Objects/Ground0.png,2,0
tile_swamp,Swamp,Objects/Ground0.png,3,0
tile_river,River,Objects/Pit0.png,0,4
tile_lake,Lake,Objects/Pit0.png,0,5
tile_bridge,Bridge,Objects/Floor.png,1,7
tile_dense_woods,Dense Woods,Objects/Tree0.png,2,1
tile_yellow_road,Yellow Road,Objects/Floor.png,3,8

# =====================================================================
# OVERWORLD LANDMARKS (Map0.png has town/castle icons)
# =====================================================================
tile_town,Town,Objects/Map0.png,3,4
tile_castle,Castle,Objects/Map0.png,4,4
tile_dungeon_entrance,Dungeon Entrance,Objects/Pit0.png,0,0
tile_abbey,Abbey,Objects/Map0.png,3,4
tile_cottage,Cottage,Objects/Decor0.png,0,1
tile_cave,Cave,Objects/Pit0.png,0,0
tile_stone_circle,Stone Circle,Objects/Decor0.png,5,2
tile_volcano,Volcano,Objects/Hill0.png,2,2
tile_boat,Boat,Items/Tool.png,0,0

# =====================================================================
# MONSTERS - Beasts
# =====================================================================
mon_giant_rat,Giant Rat,Characters/Rodent0.png,0,0
mon_bat_swarm,Bat Swarm,Characters/Avian0.png,4,4
mon_adder,Adder,Characters/Reptile0.png,0,0
mon_wild_boar,Wild Boar,Characters/Quadraped0.png,4,2
mon_wolf,Wolf,Characters/Dog0.png,1,0
mon_giant_spider,Giant Spider,Characters/Pest0.png,0,2
mon_bear,Bear,Characters/Quadraped0.png,0,3
mon_giant_beetle,Giant Beetle,Characters/Pest0.png,0,0
mon_stag,Stag,Characters/Quadraped0.png,0,0
mon_rabid_dog,Rabid Dog,Characters/Dog0.png,0,0

# =====================================================================
# MONSTERS - Bandits & Outlaws
# =====================================================================
mon_bandit,Bandit,Characters/Humanoid0.png,0,4
